id2,geography,population,housing,income,employment,poverty
06075030800,"Census Tract 308, San Francisco County, California",5508,1000000,132037,58.6,176
06075030900,"Census Tract 309, San Francisco County, California",6477,1000000,147669,56.1,295
06075031000,"Census Tract 310, San Francisco County, California",3503,830000,104744,60.9,244
06075031100,"Census Tract 311, San Francisco County, California",6433,644000,108049,66.4,369
06075031201,"Census Tract 312.01, San Francisco County, California",7628,628900,71431,52.6,934
06075031202,"Census Tract 312.02, San Francisco County, California",2946,607100,72378,58,484
06075031301,"Census Tract 313.01, San Francisco County, California",4079,631700,72348,55.4,564
06075031302,"Census Tract 313.02, San Francisco County, California",6321,555600,71071,62.9,1210
06075031400,"Census Tract 314, San Francisco County, California",6956,517900,54809,59.1,1140
06075032601,"Census Tract 326.01, San Francisco County, California",4738,822100,74625,64,504
06075032602,"Census Tract 326.02, San Francisco County, California",4205,699100,57394,50.8,665
06075032700,"Census Tract 327, San Francisco County, California",7140,820000,82102,64,602
06075032801,"Census Tract 328.01, San Francisco County, California",3941,694300,71000,55.5,403
06075032802,"Census Tract 328.02, San Francisco County, California",4012,718200,81409,60.6,593
06075032901,"Census Tract 329.01, San Francisco County, California",5413,681200,74484,52.4,556
06075032902,"Census Tract 329.02, San Francisco County, California",3780,677500,89893,55.3,328
06075033000,"Census Tract 330, San Francisco County, California",8173,812100,93136,65.2,879
06075033100,"Census Tract 331, San Francisco County, California",4467,907400,112313,58.3,168
06075033201,"Census Tract 332.01, San Francisco County, California",3744,0,26771,33.7,726
06075033203,"Census Tract 332.03, San Francisco County, California",3861,0,67647,58.2,967
06075033204,"Census Tract 332.04, San Francisco County, California",3588,0,48313,52.8,1201
06075035100,"Census Tract 351, San Francisco County, California",7966,697900,96611,63.6,560
06075035201,"Census Tract 352.01, San Francisco County, California",5169,634900,66875,56.7,404
06075035202,"Census Tract 352.02, San Francisco County, California",4563,664500,71912,70,492
06075035300,"Census Tract 353, San Francisco County, California",7917,657500,72111,57,797
06075035400,"Census Tract 354, San Francisco County, California",6648,655800,80313,63,711
06075040100,"Census Tract 401, San Francisco County, California",4408,1000000,64219,63.3,581
06075040200,"Census Tract 402, San Francisco County, California",5540,1000000,82845,67.5,433
06075042601,"Census Tract 426.01, San Francisco County, California",4146,883900,56949,70.3,531
06075042602,"Census Tract 426.02, San Francisco County, California",3500,977600,66779,62.1,255
06075042700,"Census Tract 427, San Francisco County, California",5582,854400,56134,63.6,723
06075042800,"Census Tract 428, San Francisco County, California",2459,1000000,217344,56.6,152
06075045100,"Census Tract 451, San Francisco County, California",4768,961900,74328,67.5,836
06075045200,"Census Tract 452, San Francisco County, California",7145,944500,68373,61.1,1269
06075047600,"Census Tract 476, San Francisco County, California",5650,950900,77619,69.3,430
06075047701,"Census Tract 477.01, San Francisco County, California",4011,829700,70909,65.4,357
06075047702,"Census Tract 477.02, San Francisco County, California",4113,813100,85464,60.9,299
06075047801,"Census Tract 478.01, San Francisco County, California",3958,805200,76572,62.6,438
06075047802,"Census Tract 478.02, San Francisco County, California",3860,906900,79250,63.2,303
06075047901,"Census Tract 479.01, San Francisco County, California",6445,796300,65181,59.8,391
06075047902,"Census Tract 479.02, San Francisco County, California",3645,724200,76635,58,461
06075060100,"Census Tract 601, San Francisco County, California",2918,1000000,140000,84.1,119
06075060400,"Census Tract 604, San Francisco County, California",1996,639100,52115,53.4,359
06075060502,"Census Tract 605.02, San Francisco County, California",3058,489900,22380,48.2,1210
06075060700,"Census Tract 607, San Francisco County, California",9251,618000,108929,73.5,1020
06075061000,"Census Tract 610, San Francisco County, California",4177,469700,101925,67,110
06075061100,"Census Tract 611, San Francisco County, California",4358,763400,13705,41.7,1685
06075061200,"Census Tract 612, San Francisco County, California",3995,439100,50924,54.8,567
06075061400,"Census Tract 614, San Francisco County, California",5488,745500,106767,70.5,942
06075061500,"Census Tract 615, San Francisco County, California",12038,746500,118143,70.8,1220
06075980200,"Census Tract 9802, San Francisco County, California",324,695300,78625,35.3,12
06075980300,"Census Tract 9803, San Francisco County, California",39,0,122596,100,0
06075980401,"Census Tract 9804.01, San Francisco County, California",0,0,0,0,0
06075980501,"Census Tract 9805.01, San Francisco County, California",662,592700,13537,38.3,310
06075980600,"Census Tract 9806, San Francisco County, California",357,323300,77500,60.8,57
06075980900,"Census Tract 9809, San Francisco County, California",247,0,158015,78.1,53
06075990100,"Census Tract 9901, San Francisco County, California",0,0,0,0,0
