id2,geography,population,housing,income,employment,poverty
06037117102,"Census Tract 1171.02, Los Angeles County, California",2687,373100,49915,58.7,101
06037117201,"Census Tract 1172.01, Los Angeles County, California",5052,350700,41645,54.3,1893
06037117202,"Census Tract 1172.02, Los Angeles County, California",2514,395500,91453,60.1,67
06037117301,"Census Tract 1173.01, Los Angeles County, California",4154,390600,93707,65.6,165
06037117302,"Census Tract 1173.02, Los Angeles County, California",5107,456200,76042,57.7,277
06037117303,"Census Tract 1173.03, Los Angeles County, California",3603,411300,65852,58.3,183
06037117404,"Census Tract 1174.04, Los Angeles County, California",4124,435200,72679,57.6,196
06037117405,"Census Tract 1174.05, Los Angeles County, California",3801,111500,29531,52.3,1880
06037117407,"Census Tract 1174.07, Los Angeles County, California",3484,0,28013,64.5,1422
06037117408,"Census Tract 1174.08, Los Angeles County, California",3269,220200,28417,68.7,1451
06037117510,"Census Tract 1175.10, Los Angeles County, California",3931,208700,32200,60.1,1393
06037117520,"Census Tract 1175.20, Los Angeles County, California",3633,244000,31698,58.7,1371
06037117530,"Census Tract 1175.30, Los Angeles County, California",5626,227800,38828,61,1879
06037119001,"Census Tract 1190.01, Los Angeles County, California",3849,319200,61250,60.2,273
06037119002,"Census Tract 1190.02, Los Angeles County, California",6998,309100,55991,50.8,1449
06037119201,"Census Tract 1192.01, Los Angeles County, California",4064,287200,56450,60.5,325
06037119202,"Census Tract 1192.02, Los Angeles County, California",4270,317300,61995,52.2,739
06037119310,"Census Tract 1193.10, Los Angeles County, California",3803,174600,47222,55.6,572
06037119320,"Census Tract 1193.20, Los Angeles County, California",4683,272600,44400,58.2,1470
06037119340,"Census Tract 1193.40, Los Angeles County, California",3981,235400,32207,64,1481
06037119341,"Census Tract 1193.41, Los Angeles County, California",2549,263700,46445,55.2,493
06037119342,"Census Tract 1193.42, Los Angeles County, California",3511,200700,38750,62.9,1196
06037119400,"Census Tract 1194, Los Angeles County, California",5415,276500,70060,58.3,661
06037119700,"Census Tract 1197, Los Angeles County, California",4562,356000,67778,56.3,711
06037119800,"Census Tract 1198, Los Angeles County, California",6099,301500,67353,63.7,404
06037119900,"Census Tract 1199, Los Angeles County, California",5051,276000,70000,58.2,447
06037120010,"Census Tract 1200.10, Los Angeles County, California",2993,269600,53242,59,409
06037120020,"Census Tract 1200.20, Los Angeles County, California",5231,324200,33021,56.5,1656
06037120030,"Census Tract 1200.30, Los Angeles County, California",2930,329000,30521,51.7,1109
06037120103,"Census Tract 1201.03, Los Angeles County, California",3497,256300,27167,61.4,1632
06037120104,"Census Tract 1201.04, Los Angeles County, California",2674,319000,35678,59.4,991
06037120105,"Census Tract 1201.05, Los Angeles County, California",2991,322900,31264,44.9,893
06037120106,"Census Tract 1201.06, Los Angeles County, California",4331,406300,31780,61.9,1459
06037120107,"Census Tract 1201.07, Los Angeles County, California",3742,295200,25000,57.6,1804
06037120108,"Census Tract 1201.08, Los Angeles County, California",4613,143400,34044,55.2,1525
06037120300,"Census Tract 1203, Los Angeles County, California",5439,285000,64348,64.7,484
06037120400,"Census Tract 1204, Los Angeles County, California",6883,257800,36398,53.9,1667
06037121010,"Census Tract 1210.10, Los Angeles County, California",4989,329900,66194,60.3,788
06037121020,"Census Tract 1210.20, Los Angeles County, California",3364,365900,45428,53.3,703
06037121101,"Census Tract 1211.01, Los Angeles County, California",3039,295200,52891,64.4,753
06037121102,"Census Tract 1211.02, Los Angeles County, California",2559,347000,77571,55.4,421
06037121210,"Census Tract 1212.10, Los Angeles County, California",2858,287100,38427,49.7,688
06037121221,"Census Tract 1212.21, Los Angeles County, California",2135,271600,53023,53.4,221
06037121222,"Census Tract 1212.22, Los Angeles County, California",4537,350400,38333,57.3,1282
06037121600,"Census Tract 1216, Los Angeles County, California",2902,347600,78939,61.9,267
06037121801,"Census Tract 1218.01, Los Angeles County, California",3761,247400,36406,62.5,999
06037121802,"Census Tract 1218.02, Los Angeles County, California",3297,314300,56221,51,715
06037121900,"Census Tract 1219, Los Angeles County, California",4210,318100,64205,60.6,590
06037122000,"Census Tract 1220, Los Angeles County, California",5595,377000,51490,48.1,777
06037122120,"Census Tract 1221.20, Los Angeles County, California",4956,297700,48242,58.5,820
06037122121,"Census Tract 1221.21, Los Angeles County, California",3034,290900,44821,56.7,550
06037122122,"Census Tract 1221.22, Los Angeles County, California",2118,290500,26890,51.6,557
06037122200,"Census Tract 1222, Los Angeles County, California",4230,272600,42500,52.2,979
